radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
195.709479,0.612,-10.120818,0.5,17.288,0.164,1,18.047,0.215,1,NA,NA,0,17.832,0.155,5,16.775,0.084,5,16.177,0.138,4,NA,NA,0,NA,NA,0
195.714626,0.472,-10.191073,0.36,17.107,0.099,2,17.831,0.003,2,NA,NA,0,17.414,0.062,4,16.927,0.161,3,16.541,0.223,1,NA,NA,0,NA,NA,0
195.715139,0.579,-10.571424,0.307,NA,NA,0,NA,NA,0,NA,NA,0,18.057,0.13,5,16.678,0.082,5,15.823,0.173,5,NA,NA,0,NA,NA,0
195.717286,0.159,-10.074163,0.179,15.212,0.041,5,15.925,0.052,5,NA,NA,0,15.521,0.037,5,15.039,0.032,5,14.887,0.05,5,NA,NA,0,NA,NA,0
195.720676,0.793,-10.415089,0.454,16.964,0.079,3,17.786,0.118,3,NA,NA,0,17.36,0.133,5,16.803,0.079,5,16.27,0.076,3,NA,NA,0,NA,NA,0
195.722708,0.325,-10.068277,0.293,15.932,0.046,5,16.423,0.099,5,NA,NA,0,16.113,0.042,5,15.8,0.056,5,15.779,0.105,5,NA,NA,0,NA,NA,0
195.723451,0.195,-10.309466,0.15,12.623,0.015,5,13.543,0.034,5,NA,NA,0,13.067,0.019,5,12.349,0.026,5,12.095,0.015,5,11.924,0.019,3,NA,NA,0
195.725934,0.304,-10.295135,0.249,16.251,0.052,5,17.678,0.115,5,NA,NA,0,17.049,0.07,5,15.659,0.045,5,14.878,0.07,5,NA,NA,0,NA,NA,0
195.726727,0.298,-10.188984,0.269,14.347,0.019,5,15.268,0.088,5,NA,NA,0,14.77,0.021,5,14.13,0.029,5,13.87,0.029,5,13.502,0.087,2,NA,NA,0
195.728915,0.227,-10.410372,0.216,14.766,0.026,5,15.54,0.047,5,NA,NA,0,15.119,0.009,5,14.621,0.033,5,14.417,0.06,5,NA,NA,0,NA,NA,0
195.732539,0.272,-10.204091,0.328,15.062,0.02,5,16.044,0.055,5,NA,NA,0,15.515,0.04,5,14.801,0.025,5,14.567,0.05,5,NA,NA,0,NA,NA,0
195.732676,0.168,-10.168198,0.199,15.587,0.057,5,16.531,0.086,5,NA,NA,0,16.033,0.031,5,15.363,0.044,5,15.177,0.051,5,NA,NA,0,NA,NA,0
195.733002,0.342,-10.086899,0.282,16.511,0.064,5,17.496,0.065,5,NA,NA,0,16.974,0.063,5,16.406,0.028,5,16.148,0.077,3,NA,NA,0,NA,NA,0
195.733134,0.405,-10.097932,0.285,14.425,0.024,5,15.201,0.072,5,NA,NA,0,14.766,0.024,5,14.236,0.034,5,14.081,0.024,5,NA,NA,0,NA,NA,0
195.735693,0.522,-10.457473,0.297,16.911,0.152,5,17.519,0.139,5,NA,NA,0,17.276,0.074,5,16.774,0.101,5,16.579,0.124,2,NA,NA,0,NA,NA,0
195.736397,0.267,-10.080839,0.205,16.184,0.084,5,17.408,0.122,5,NA,NA,0,16.808,0.091,5,15.661,0.058,5,15.182,0.057,5,NA,NA,0,NA,NA,0
195.736564,0.531,-10.52864,0.267,17.277,0.283,3,17.874,0.091,3,NA,NA,0,17.622,0.082,5,17.152,0.179,5,NA,NA,0,NA,NA,0,NA,NA,0
195.742574,0.336,-10.220915,0.147,15.02,0.035,5,15.579,0.056,5,NA,NA,0,15.253,0.033,5,14.944,0.024,5,14.846,0.06,5,NA,NA,0,NA,NA,0
195.743256,0.252,-10.140589,0.233,15.639,0.051,5,16.488,0.078,5,NA,NA,0,16.055,0.052,5,15.393,0.029,5,15.196,0.029,5,NA,NA,0,NA,NA,0
195.744022,0.853,-10.472331,0.575,17.515,0.033,2,17.797,0.256,2,NA,NA,0,17.808,0.114,3,17.161,0.111,3,NA,NA,0,NA,NA,0,NA,NA,0
195.746031,0.155,-10.369022,0.153,15.224,0.046,5,15.873,0.038,5,NA,NA,0,15.547,0.023,5,15.141,0.033,5,14.94,0.06,5,NA,NA,0,NA,NA,0
195.74643,0.236,-10.248701,0.173,15.666,0.06,5,16.439,0.059,5,NA,NA,0,16.021,0.025,5,15.425,0.053,5,15.175,0.053,5,NA,NA,0,NA,NA,0
195.746447,0.502,-10.280133,0.421,16.732,0.098,5,17.545,0.257,5,NA,NA,0,17.095,0.096,5,16.459,0.073,5,16.138,0.179,4,NA,NA,0,NA,NA,0
195.748596,0.559,-10.300697,0.539,17.621,0.091,2,17.563,0.09,2,NA,NA,0,17.644,0.111,3,17.297,0.018,3,NA,NA,0,NA,NA,0,NA,NA,0
195.75213,0.574,-10.4855,0.26,17.004,0.125,1,17.92,0.18,1,NA,NA,0,17.55,0.132,5,16.774,0.105,5,16.578,0.225,1,NA,NA,0,NA,NA,0
195.75449,0.567,-10.393392,0.5,17.014,0.176,3,17.712,0.094,3,NA,NA,0,17.404,0.043,5,16.916,0.109,5,16.368,0.06,4,NA,NA,0,NA,NA,0
195.755139,0.483,-10.424677,0.46,17.352,0.052,2,17.957,0.231,2,NA,NA,0,17.789,0.124,4,17.245,0.244,4,NA,NA,0,NA,NA,0,NA,NA,0
195.755678,0.569,-10.267751,0.461,17.329,0.02,2,18.027,0.132,2,NA,NA,0,17.694,0.137,5,17.229,0.281,5,NA,NA,0,NA,NA,0,NA,NA,0
195.757247,0.603,-10.073357,0.487,17.212,0.135,5,17.644,0.214,5,NA,NA,0,17.327,0.102,5,17.065,0.101,5,NA,NA,0,NA,NA,0,NA,NA,0
195.758482,0.289,-10.646275,0.209,14.486,0.014,5,15.591,0.044,5,NA,NA,0,15.034,0.024,5,14.035,0.036,5,13.68,0.031,5,13.33,0.025,2,NA,NA,0
195.759621,0.497,-10.358565,0.282,16.192,0.068,5,17.253,0.078,5,NA,NA,0,16.659,0.044,5,15.879,0.034,5,15.491,0.099,5,NA,NA,0,NA,NA,0
195.760315,0.2,-10.255681,0.151,15.603,0.046,5,17.077,0.156,5,NA,NA,0,16.34,0.043,5,15.008,0.034,5,14.407,0.046,5,NA,NA,0,NA,NA,0
195.765855,0.408,-10.372126,0.438,17.492,0.192,1,18.059,0.217,1,NA,NA,0,17.786,0.061,5,16.926,0.088,5,NA,NA,0,NA,NA,0,NA,NA,0
195.767123,0.237,-10.07249,0.158,15.448,0.059,5,16.129,0.076,5,NA,NA,0,15.713,0.024,5,15.288,0.052,5,15.164,0.119,5,NA,NA,0,NA,NA,0
195.770365,0.158,-10.533251,0.173,12.64,0.027,5,13.12,0.021,5,NA,NA,0,12.832,0.018,5,12.507,0.025,5,12.43,0.015,5,12.229,0.054,3,NA,NA,0
195.773417,0.207,-10.30255,0.303,13.558,0.016,5,14.332,0.029,5,NA,NA,0,13.918,0.026,5,13.367,0.019,5,13.23,0.019,5,13.234,0.051,2,NA,NA,0
195.775158,0.483,-10.213422,0.366,16.477,0.059,5,16.996,0.066,5,NA,NA,0,16.778,0.045,5,16.266,0.071,5,16.094,0.103,5,NA,NA,0,NA,NA,0
195.777461,0.455,-10.610869,0.368,16.975,0.109,1,17.855,0.165,1,NA,NA,0,17.45,0.124,5,16.895,0.154,5,NA,NA,0,NA,NA,0,NA,NA,0
195.782919,0.18,-10.323343,0.108,11.876,0.016,5,12.559,0.034,5,NA,NA,0,12.165,0.026,5,11.722,0.016,5,11.605,0.022,5,11.54,0.075,3,NA,NA,0
195.783805,0.367,-10.4813,0.236,16.2,0.063,5,17.07,0.139,5,NA,NA,0,16.594,0.054,5,16.104,0.042,5,15.976,0.145,5,NA,NA,0,NA,NA,0
195.785863,0.063,-10.498352,0.482,NA,NA,0,NA,NA,0,NA,NA,0,18.892,0.303,1,17.333,0.172,1,NA,NA,0,NA,NA,0,NA,NA,0
195.788617,0.334,-10.048414,0.274,16.514,0.098,5,17.295,0.166,5,NA,NA,0,16.843,0.043,5,16.246,0.083,5,16.129,0.094,4,NA,NA,0,NA,NA,0
195.78939,0.288,-10.300959,0.23,14.892,0.038,5,15.518,0.043,5,NA,NA,0,15.177,0.02,5,14.712,0.018,5,14.562,0.053,5,NA,NA,0,NA,NA,0
195.791426,0.245,-10.013803,0.243,NA,NA,0,NA,NA,0,NA,NA,0,18.011,0.148,1,17.594,0.219,1,NA,NA,0,NA,NA,0,NA,NA,0
195.792401,0.219,-9.995821,0.237,15.44,0.024,5,16.088,0.065,5,NA,NA,0,15.738,0.023,5,15.262,0.045,5,15.081,0.06,5,NA,NA,0,NA,NA,0
195.792841,0.248,-10.430646,0.387,16.198,0.1,5,16.894,0.113,5,NA,NA,0,16.511,0.023,5,16.106,0.039,5,15.96,0.181,5,NA,NA,0,NA,NA,0
195.793339,0.553,-10.202798,0.425,16.836,0.217,2,18.174,0.2,2,NA,NA,0,17.661,0.125,5,16.327,0.072,5,15.721,0.112,5,NA,NA,0,NA,NA,0
195.797959,0.337,-10.231594,0.229,16.558,0.158,5,17.278,0.181,5,NA,NA,0,16.812,0.053,5,16.374,0.067,5,16.007,0.247,5,NA,NA,0,NA,NA,0
195.798325,0.468,-10.626843,0.325,17.008,0.061,3,18.107,0.146,3,NA,NA,0,17.65,0.095,5,16.486,0.068,5,15.944,0.177,5,NA,NA,0,NA,NA,0
195.799417,0.305,-9.992514,0.303,16.074,0.084,5,17.487,0.148,5,NA,NA,0,16.782,0.072,5,15.652,0.055,5,15.278,0.072,5,NA,NA,0,NA,NA,0
195.804788,0.351,-10.577945,0.525,NA,NA,0,NA,NA,0,NA,NA,0,18.021,0.182,4,17.159,0.149,4,NA,NA,0,NA,NA,0,NA,NA,0
195.806514,0.327,-10.677391,0.327,16.218,0.01,5,16.894,0.034,5,NA,NA,0,16.536,0.047,5,16.089,0.07,5,15.976,0.118,5,NA,NA,0,NA,NA,0
195.811665,0.14,-10.184941,0.122,12.247,0.018,5,12.726,0.033,5,NA,NA,0,12.465,0.027,5,12.173,0.019,5,12.137,0.038,5,12.132,0.05,3,NA,NA,0
195.811838,0.44,-10.239742,0.272,NA,NA,0,NA,NA,0,NA,NA,0,18.527,0.225,1,17.198,0.153,1,NA,NA,0,NA,NA,0,NA,NA,0
195.814772,0.322,-10.28854,0.297,15.85,0.039,5,17.071,0.113,5,NA,NA,0,16.43,0.035,5,15.391,0.071,5,15.047,0.023,5,NA,NA,0,NA,NA,0
195.819259,0.288,-10.153189,0.231,16.135,0.062,5,16.25,0.03,5,NA,NA,0,16.154,0.043,5,16.295,0.076,5,16.409,0.181,1,NA,NA,0,NA,NA,0
195.822291,0.172,-10.561704,0.205,15.733,0.02,5,16.398,0.043,5,NA,NA,0,16.049,0.05,5,15.673,0.05,5,15.555,0.077,5,NA,NA,0,NA,NA,0
195.82546,0.394,-10.008872,0.264,15.813,0.033,5,16.568,0.081,5,NA,NA,0,16.136,0.043,5,15.591,0.059,5,15.334,0.034,5,NA,NA,0,NA,NA,0
195.826025,0.14,-10.181388,0.096,10.43,0.013,8,11.025,0.042,6,NA,NA,0,10.84,0.198,8,10.291,0.023,8,10.176,0.04,8,10.146,0.041,3,NA,NA,0
195.829573,0.442,-10.167497,0.294,16.559,0.089,5,17.477,0.139,5,NA,NA,0,17.077,0.074,5,16.309,0.04,5,16.055,0.273,5,NA,NA,0,NA,NA,0
195.832062,0.22,-10.517155,0.195,14.803,0.029,5,15.847,0.025,5,NA,NA,0,15.299,0.044,5,14.456,0.026,5,14.187,0.039,5,13.974,0.258,1,NA,NA,0
195.833102,0.312,-9.987145,0.256,13.245,0.032,5,14.022,0.047,5,NA,NA,0,13.599,0.022,5,13.013,0.03,5,12.867,0.029,5,12.726,0.095,3,NA,NA,0
195.834234,0.371,-10.280462,0.25,16.306,0.068,5,17.348,0.08,5,NA,NA,0,16.824,0.035,5,16.032,0.078,5,15.664,0.087,5,NA,NA,0,NA,NA,0
195.83548,0.447,-10.050721,0.338,16.34,0.089,5,17.328,0.179,5,NA,NA,0,16.867,0.104,5,15.932,0.049,5,15.667,0.158,5,NA,NA,0,NA,NA,0
195.836203,0.297,-9.977435,0.128,14.437,0.024,5,14.975,0.047,5,NA,NA,0,14.688,0.011,5,14.34,0.043,5,14.245,0.062,5,NA,NA,0,NA,NA,0
195.836464,0.206,-10.275681,0.107,15.388,0.044,5,16.371,0.06,5,NA,NA,0,15.882,0.058,5,15.029,0.056,5,14.803,0.05,5,NA,NA,0,NA,NA,0
195.837666,0.385,-10.133212,0.412,17.197,0.149,1,18.2,0.236,1,NA,NA,0,17.769,0.16,3,17.085,0.108,3,NA,NA,0,NA,NA,0,NA,NA,0
195.838811,0.171,-9.994016,0.204,13.033,0.027,5,14.008,0.035,5,NA,NA,0,13.47,0.024,5,12.747,0.029,5,12.481,0.029,5,12.312,0.083,3,NA,NA,0
195.841934,0.414,-10.621361,0.207,14.657,0.023,5,15.552,0.025,5,NA,NA,0,15.066,0.023,5,14.423,0.032,5,14.208,0.028,5,13.774,0.24,1,NA,NA,0
195.842714,0.268,-10.450022,0.196,14,0.02,5,14.786,0.029,5,NA,NA,0,14.325,0.015,5,13.745,0.032,5,13.547,0.037,5,13.514,0.011,2,NA,NA,0
195.844545,0.292,-10.370207,0.215,15.595,0.039,5,16.123,0.067,5,NA,NA,0,15.842,0.028,5,15.539,0.054,5,15.47,0.111,5,NA,NA,0,NA,NA,0
195.845236,0.798,-10.096744,0.579,NA,NA,0,NA,NA,0,NA,NA,0,18.132,0.217,3,17.384,0.068,3,NA,NA,0,NA,NA,0,NA,NA,0
195.845658,0.425,-10.38648,0.379,17.041,0.125,5,17.759,0.091,5,NA,NA,0,17.443,0.072,5,16.659,0.132,5,16.253,0.075,4,NA,NA,0,NA,NA,0
195.84739,0.016,-10.210307,0.084,NA,NA,0,NA,NA,0,NA,NA,0,18.096,0.159,1,17.516,0.192,1,NA,NA,0,NA,NA,0,NA,NA,0
195.848984,0.632,-10.380499,0.495,17.822,0.254,1,18.211,0.241,1,NA,NA,0,17.92,0.19,3,17.36,0.114,3,16.427,0.203,1,NA,NA,0,NA,NA,0
195.850074,0.556,-10.503397,0.296,16.906,0.157,4,17.768,0.24,4,NA,NA,0,17.223,0.074,5,16.676,0.082,5,16.289,0.159,3,NA,NA,0,NA,NA,0
195.850287,0.253,-10.577607,0.295,NA,NA,0,NA,NA,0,NA,NA,0,17.872,0.149,3,16.941,0.066,3,NA,NA,0,NA,NA,0,NA,NA,0
195.850601,0.465,-10.150809,0.408,17.123,0.083,4,17.809,0.144,4,NA,NA,0,17.545,0.114,5,17.216,0.24,5,16.264,0.173,1,NA,NA,0,NA,NA,0
195.850658,0.307,-10.063164,0.196,15.982,0.041,5,16.806,0.086,5,NA,NA,0,16.36,0.017,5,15.772,0.083,5,15.635,0.109,5,NA,NA,0,NA,NA,0
195.852656,0.175,-10.242948,0.196,13.186,0.014,5,14.438,0.042,5,NA,NA,0,13.807,0.032,5,12.801,0.022,5,12.397,0.041,5,12.169,0.027,3,NA,NA,0
195.854959,0.309,-10.575606,0.32,14.053,0.02,5,14.817,0.017,5,NA,NA,0,14.389,0.014,5,13.873,0.028,5,13.705,0.021,5,13.696,0.182,1,NA,NA,0
195.855059,0.526,-10.626932,0.229,NA,NA,0,NA,NA,0,NA,NA,0,18.119,0.278,4,16.868,0.18,4,NA,NA,0,NA,NA,0,NA,NA,0
195.856237,0.447,-10.10857,0.291,14.584,0.035,5,15.373,0.066,5,NA,NA,0,14.94,0.018,5,14.378,0.031,5,14.203,0.015,5,NA,NA,0,NA,NA,0
195.856911,0.58,-10.610831,0.54,16.926,0.072,4,17.634,0.181,4,NA,NA,0,17.313,0.115,5,16.55,0.111,5,16.266,0.144,3,NA,NA,0,NA,NA,0
195.857097,0.452,-10.65916,0.248,NA,NA,0,NA,NA,0,NA,NA,0,17.735,0.069,5,16.388,0.13,5,15.991,0.111,5,NA,NA,0,NA,NA,0
195.860582,0.449,-10.467565,0.252,16.146,0.082,5,17.036,0.063,5,NA,NA,0,16.526,0.083,5,15.875,0.079,5,15.683,0.05,5,NA,NA,0,NA,NA,0
195.861129,0.263,-10.286018,0.319,14.331,0.011,5,15.481,0.047,5,NA,NA,0,14.919,0.027,5,13.89,0.021,5,13.525,0.038,5,13.155,0.016,2,NA,NA,0
195.861189,0.168,-10.072436,0.215,14.825,0.026,5,15.54,0.036,5,NA,NA,0,15.143,0.036,5,14.668,0.017,5,14.585,0.044,5,NA,NA,0,NA,NA,0
195.863935,0.796,-10.546157,0.468,NA,NA,0,NA,NA,0,NA,NA,0,18.102,0.287,3,17.426,0.12,3,NA,NA,0,NA,NA,0,NA,NA,0
195.864696,0.745,-10.221827,0.018,NA,NA,0,NA,NA,0,NA,NA,0,18.125,0.246,1,16.899,0.147,1,NA,NA,0,NA,NA,0,NA,NA,0
195.864925,0.284,-10.279638,0.287,16.131,0.072,5,16.942,0.086,5,NA,NA,0,16.531,0.051,5,15.994,0.06,5,15.682,0.035,5,NA,NA,0,NA,NA,0
195.866041,0.597,-10.45575,0.427,17.309,0.139,2,17.902,0.252,2,NA,NA,0,17.753,0.169,5,16.798,0.149,5,16.285,0.112,3,NA,NA,0,NA,NA,0
195.867196,0.84,-10.154205,0.342,17.772,0.233,1,18.049,0.22,1,NA,NA,0,18.125,0.16,1,17.34,0.169,1,NA,NA,0,NA,NA,0,NA,NA,0
195.867304,0.509,-10.315014,0.354,16.682,0.062,5,17.384,0.146,5,NA,NA,0,17.044,0.034,5,16.689,0.07,5,16.499,0.137,3,NA,NA,0,NA,NA,0
195.86945,0.398,-10.492611,0.228,NA,NA,0,NA,NA,0,NA,NA,0,18.187,0.238,2,17.431,0.023,2,NA,NA,0,NA,NA,0,NA,NA,0
195.869665,0.317,-9.978991,0.355,14.429,0.025,5,15.201,0.034,5,NA,NA,0,14.785,0.034,5,14.239,0.028,5,14.03,0.045,5,NA,NA,0,NA,NA,0
195.870669,0.274,-10.684189,0.461,NA,NA,0,NA,NA,0,NA,NA,0,18.637,0.24,1,17.431,0.173,1,16.34,0.199,1,NA,NA,0,NA,NA,0
195.871882,0.413,-10.303714,0.337,16.777,0.117,5,17.404,0.108,5,NA,NA,0,17.138,0.019,5,16.602,0.099,5,16.121,0.15,1,NA,NA,0,NA,NA,0
195.872883,0.529,-10.693418,0.386,16.586,0.158,5,17.216,0.151,5,NA,NA,0,16.828,0.039,5,16.419,0.083,5,16.079,0.1,5,NA,NA,0,NA,NA,0
195.873245,0.208,-9.967082,0.195,13.454,0.032,5,14.536,0.035,5,NA,NA,0,13.978,0.019,5,13.049,0.032,5,12.652,0.028,5,12.489,0.061,3,NA,NA,0
195.875155,0.511,-10.121686,0.43,17.185,0.141,1,17.922,0.181,1,NA,NA,0,17.881,0.209,4,17.222,0.164,4,16.254,0.215,1,NA,NA,0,NA,NA,0
195.877651,0.184,-10.606079,0.234,13.619,0.029,5,14.452,0.02,5,NA,NA,0,13.977,0.017,5,13.35,0.021,5,13.088,0.038,5,12.798,0.006,2,NA,NA,0
195.878277,0.683,-10.072757,0.6,17.632,0.217,1,18.007,0.21,1,NA,NA,0,18.308,0.191,1,17.433,0.194,1,NA,NA,0,NA,NA,0,NA,NA,0
195.878535,0.575,-10.136183,0.276,16.735,0.125,5,17.32,0.101,5,NA,NA,0,17.008,0.092,5,16.549,0.137,5,16.447,0.083,3,NA,NA,0,NA,NA,0
195.878656,0.512,-10.040749,0.454,16.733,0.069,5,17.365,0.182,5,NA,NA,0,16.967,0.088,5,16.537,0.084,5,15.959,0.031,2,NA,NA,0,NA,NA,0
195.880111,0.225,-9.967135,0.163,15.106,0.021,5,16.433,0.073,5,NA,NA,0,15.792,0.052,5,14.582,0.03,5,13.999,0.048,5,13.535,0.186,1,NA,NA,0
195.882117,0.308,-10.380625,0.255,13.589,0.028,5,14.189,0.042,5,NA,NA,0,13.821,0.022,5,13.449,0.028,5,13.35,0.043,5,13.288,0.072,2,NA,NA,0
195.882447,0.327,-10.654985,0.194,16.117,0.099,5,16.696,0.061,5,NA,NA,0,16.368,0.047,5,15.983,0.035,5,15.756,0.158,5,NA,NA,0,NA,NA,0
195.882841,0.391,-9.949698,0.218,16.432,0.074,1,17.937,0.198,1,NA,NA,0,17.28,0.066,5,15.848,0.04,5,15.147,0.101,5,NA,NA,0,NA,NA,0
195.887768,0.217,-10.152922,0.16,15.382,0.054,5,16.053,0.093,5,NA,NA,0,15.704,0.034,5,15.188,0.036,5,15.087,0.092,5,NA,NA,0,NA,NA,0
195.892113,0.276,-10.150536,0.184,15.565,0.041,5,16.519,0.056,5,NA,NA,0,16.037,0.027,5,15.343,0.039,5,15.135,0.041,5,NA,NA,0,NA,NA,0
195.892317,0.317,-10.514515,0.305,16.035,0.077,5,16.594,0.065,5,NA,NA,0,16.282,0.022,5,15.829,0.04,5,15.545,0.086,5,NA,NA,0,NA,NA,0
195.896073,0.525,-9.976136,0.303,NA,NA,0,NA,NA,0,NA,NA,0,17.758,0.087,5,16.623,0.168,5,16.147,0.037,3,NA,NA,0,NA,NA,0
195.8974,0.214,-10.555978,0.216,15.711,0.037,5,16.365,0.05,5,NA,NA,0,16,0.019,5,15.527,0.053,5,15.386,0.086,5,NA,NA,0,NA,NA,0
195.898545,0.805,-10.361478,0.687,NA,NA,0,NA,NA,0,NA,NA,0,18.338,0.186,1,17.538,0.202,1,NA,NA,0,NA,NA,0,NA,NA,0
195.900316,0.452,-10.47641,0.413,16.742,0.077,5,17.467,0.221,5,NA,NA,0,17.041,0.061,5,16.479,0.055,5,16.189,0.15,5,NA,NA,0,NA,NA,0
195.901028,0.256,-10.55089,0.138,15.829,0.046,5,16.931,0.076,5,NA,NA,0,16.347,0.02,5,15.485,0.051,5,15.12,0.097,5,NA,NA,0,NA,NA,0
195.901682,0.351,-10.402487,0.299,16.086,0.053,5,16.866,0.081,5,NA,NA,0,16.416,0.048,5,15.883,0.048,5,15.736,0.097,5,NA,NA,0,NA,NA,0
195.901933,0.595,-10.496859,0.558,NA,NA,0,NA,NA,0,NA,NA,0,18.333,0.129,3,17.27,0.03,3,NA,NA,0,NA,NA,0,NA,NA,0
195.902495,0.251,-10.19826,0.237,14.047,0.029,5,15.123,0.044,5,NA,NA,0,14.585,0.029,5,13.701,0.028,5,13.433,0.031,5,13.274,0.062,2,NA,NA,0
195.902554,0.621,-10.406711,0.645,NA,NA,0,NA,NA,0,NA,NA,0,18.076,0.046,3,17.1,0.081,3,16.035,0.182,1,NA,NA,0,NA,NA,0
195.906431,0.37,-10.352056,0.291,NA,NA,0,NA,NA,0,NA,NA,0,17.894,0.1,5,16.551,0.106,5,15.297,0.078,5,NA,NA,0,NA,NA,0
195.908519,0.383,-10.176862,0.228,16.176,0.09,5,16.943,0.168,5,NA,NA,0,16.461,0.021,5,15.915,0.041,5,15.677,0.121,5,NA,NA,0,NA,NA,0
195.909391,0.526,-10.055417,0.325,16.453,0.037,5,17.253,0.096,5,NA,NA,0,16.804,0.076,5,16.226,0.078,5,16.061,0.17,5,NA,NA,0,NA,NA,0
195.909816,0.628,-10.186999,0.626,NA,NA,0,NA,NA,0,NA,NA,0,17.934,0.206,2,17.153,0.168,2,NA,NA,0,NA,NA,0,NA,NA,0
195.909822,0.249,-10.105224,0.183,15.76,0.039,5,16.779,0.119,5,NA,NA,0,16.221,0.066,5,15.508,0.036,5,15.25,0.084,5,NA,NA,0,NA,NA,0
195.910213,0.353,-10.099059,0.371,14.029,0.016,5,14.747,0.045,5,NA,NA,0,14.338,0.024,5,13.84,0.039,5,13.71,0.053,5,NA,NA,0,NA,NA,0
195.912928,0.215,-10.676264,0.314,14.665,0.019,5,15.252,0.012,5,NA,NA,0,14.906,0.025,5,14.52,0.035,5,14.386,0.059,5,NA,NA,0,NA,NA,0
195.913522,0.373,-10.358693,0.303,14.82,0.027,5,15.926,0.053,5,NA,NA,0,15.358,0.034,5,14.328,0.016,5,13.956,0.042,5,13.469,0.182,2,NA,NA,0
195.914994,0.24,-10.06557,0.201,15.653,0.028,5,16.588,0.089,5,NA,NA,0,16.068,0.06,5,15.419,0.04,5,15.17,0.084,5,NA,NA,0,NA,NA,0
195.915768,0.248,-10.691439,0.155,15.645,0.057,5,16.271,0.066,5,NA,NA,0,15.927,0.04,5,15.565,0.044,5,15.432,0.074,5,NA,NA,0,NA,NA,0
195.916047,0.667,-10.611713,0.479,NA,NA,0,NA,NA,0,NA,NA,0,17.994,0.133,1,17.373,0.164,1,16.396,0.195,1,NA,NA,0,NA,NA,0
195.91714,0.351,-10.681723,0.28,16.676,0.135,5,17.532,0.111,5,NA,NA,0,16.918,0.02,5,16.353,0.097,5,16.047,0.114,4,NA,NA,0,NA,NA,0
195.917831,0.2,-10.178061,0.137,11.912,0.025,5,13.029,0.036,5,NA,NA,0,12.424,0.017,5,11.543,0.032,5,11.25,0.044,5,11.09,0.048,3,NA,NA,0
195.91882,0.206,-10.70221,0.179,16.117,0.049,5,16.668,0.081,5,NA,NA,0,16.356,0.036,5,15.98,0.058,5,15.686,0.049,5,NA,NA,0,NA,NA,0
195.919343,0.445,-10.171353,0.357,16.262,0.087,5,16.94,0.054,5,NA,NA,0,16.565,0.039,5,16.061,0.065,5,15.924,0.105,4,NA,NA,0,NA,NA,0
195.919573,0.207,-10.053758,0.275,13.493,0.024,5,14.164,0.042,5,NA,NA,0,13.768,0.019,5,13.329,0.036,5,13.236,0.043,5,13.168,0.089,2,NA,NA,0
195.919755,0.521,-10.720344,0.348,17.037,0.203,5,17.657,0.135,5,NA,NA,0,17.399,0.089,5,16.771,0.069,5,NA,NA,0,NA,NA,0,NA,NA,0
195.922461,0.247,-10.378375,0.176,15.912,0.038,5,16.614,0.061,5,NA,NA,0,16.237,0.031,5,15.728,0.084,5,15.465,0.143,5,NA,NA,0,NA,NA,0
195.923566,0.346,-10.668703,0.355,16.182,0.093,5,17.115,0.099,5,NA,NA,0,16.641,0.048,5,15.745,0.048,5,15.424,0.084,5,NA,NA,0,NA,NA,0
195.924331,0.374,-10.73168,0.345,16.774,0.127,2,17.889,0.118,2,NA,NA,0,17.423,0.13,5,16.363,0.09,5,15.84,0.067,5,NA,NA,0,NA,NA,0
195.926978,0.219,-10.314228,0.318,14.183,0.015,5,14.886,0.039,5,NA,NA,0,14.505,0.025,5,14.054,0.026,5,13.893,0.012,5,13.724,0.201,1,NA,NA,0
195.92753,0.098,-10.423967,0.038,NA,NA,0,NA,NA,0,NA,NA,0,17.901,0.127,1,17.018,0.126,1,NA,NA,0,NA,NA,0,NA,NA,0
195.930454,0.243,-10.222083,0.195,15.756,0.014,5,16.627,0.051,5,NA,NA,0,16.194,0.05,5,15.57,0.057,5,15.413,0.058,5,NA,NA,0,NA,NA,0
195.932894,0.211,-9.994603,0.235,NA,NA,0,NA,NA,0,NA,NA,0,18.169,0.167,1,17.223,0.158,1,NA,NA,0,NA,NA,0,NA,NA,0
195.933464,0.205,-9.955421,0.381,16.176,0.097,4,17.489,0.109,4,NA,NA,0,16.882,0.046,5,15.529,0.063,5,14.818,0.064,5,NA,NA,0,NA,NA,0
195.934338,0.339,-10.580687,0.379,NA,NA,0,NA,NA,0,NA,NA,0,18.203,0.028,2,16.905,0.088,2,16.25,0.137,2,NA,NA,0,NA,NA,0
195.935063,0.438,-10.477504,0.36,14.867,0.005,4,15.809,0.118,4,NA,NA,0,15.283,0.076,4,14.475,0.037,4,14.09,0.057,4,NA,NA,0,NA,NA,0
195.935171,0.263,-10.506033,0.229,16.093,0.031,5,16.872,0.117,5,NA,NA,0,16.436,0.038,5,15.991,0.047,5,15.714,0.085,5,NA,NA,0,NA,NA,0
